"mean","sd","sd_low","sd_high","month","year","parameter"
5.52050843242651,1.74550124421519,3.77500718821133,7.2660096766417,"May","2009","phyc"
4.03053172024744,1.42641141992235,2.60412030032509,5.45694314016979,"May","2010","phyc"
4.24148743434664,1.05325647595414,3.1882309583925,5.29474391030077,"May","2011","phyc"
8.15477420594587,1.23256317096632,6.92221103497955,9.38733737691219,"May","2012","phyc"
6.94148747457977,1.20190800770686,5.73957946687291,8.14339548228664,"May","2013","phyc"
2.85640582862573,1.61262172978608,1.24378409883964,4.46902755841181,"June","2009","phyc"
2.13332889477412,1.44958369800242,0.683745196771699,3.58291259277654,"June","2010","phyc"
4.75127765173331,2.27268001289553,2.47859763883778,7.02395766462885,"June","2011","phyc"
3.35430793394715,1.61469923952253,1.73960869442461,4.96900717346968,"June","2012","phyc"
4.38111447605428,1.58744864887185,2.79366582718243,5.96856312492613,"June","2013","phyc"
2.15733821914121,1.79427269758651,0.3630655215547,3.95161091672772,"July","2009","phyc"
2.09743145834177,2.00566209661295,0.0917693617288227,4.10309355495472,"July","2010","phyc"
3.47295595436316,2.15214867605515,1.32080727830801,5.62510463041831,"July","2011","phyc"
2.36363192850893,2.31129530146873,0.0523366270401988,4.67492722997766,"July","2012","phyc"
2.2850771487836,1.57834687705213,0.706730271731467,3.86342402583572,"July","2013","phyc"
