"mean","sd","sd_low","sd_high","month","year","parameter"
11.1447063480769,0.440655784900168,10.7040505631768,11.5853621329771,"May","2009","thetao"
12.3733474320753,0.305061840801098,12.0682855912742,12.6784092728764,"May","2010","thetao"
12.1288998680171,0.433124791317031,11.6957750767,12.5620246593341,"May","2011","thetao"
11.5957483275422,0.27396771359209,11.3217806139501,11.8697160411343,"May","2012","thetao"
10.7301865148685,0.552279937742264,10.1779065771262,11.2824664526107,"May","2013","thetao"
14.6253755110688,0.24066194215955,14.3847135689093,14.8660374532284,"June","2009","thetao"
15.6108580753593,0.293123486065938,15.3177345892933,15.9039815614252,"June","2010","thetao"
12.9222169220146,0.315499244212517,12.6067176778021,13.2377161662272,"June","2011","thetao"
13.6351633428242,0.226078167857251,13.4090851749669,13.8612415106814,"June","2012","thetao"
13.0695782343752,0.281990139795299,12.7875880945799,13.3515683741705,"June","2013","thetao"
15.7383336058895,0.579124070627966,15.1592095352616,16.3174576765175,"July","2009","thetao"
16.0625107774643,0.904779601507765,15.1577311759565,16.9672903789721,"July","2010","thetao"
14.7002100134578,0.296898125573696,14.4033118878841,14.9971081390315,"July","2011","thetao"
15.341433820138,0.669335504579736,14.6720983155583,16.0107693247178,"July","2012","thetao"
17.1477742322749,0.365146297938991,16.7826279343359,17.5129205302139,"July","2013","thetao"
